Restaurant|Adrress|Opening_Hours|Contact|Total_Star|Person|Star|Date|Review|Thumb|tokens|tokens_v2|entities|token_pos|top_key_freq|summary|sentiment
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Jessica XIE| 5 顆星 |2 天前|鴨肉本身真的很嫩，配飯是絕配|0|['鴨肉', '本身', '真的', '很', '嫩', '，', '配飯', '是', '絕配']|['鴨肉', '配飯', '絕配']|set()|[('鴨肉', 'Na'), ('本身', 'Nh'), ('真的', 'D'), ('很', 'Dfa'), ('嫩', 'VH'), ('，', 'COMMACATEGORY'), ('配飯', 'VA'), ('是', 'SHI'), ('絕配', 'Na')]|[('鴨肉', 1), ('配飯', 1), ('絕配', 1)]|['鴨肉本身真的很嫩', '配飯是絕配']|0.51
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|郭東東| 5 顆星 |3 天前|超好吃，一定要來啊！|0|['超', '好吃', '，', '一定', '要', '來', '啊', '！']|[]|set()|[('超', 'Dfa'), ('好吃', 'VH'), ('，', 'COMMACATEGORY'), ('一定', 'D'), ('要', 'D'), ('來', 'VA'), ('啊', 'T'), ('！', 'EXCLAMATIONCATEGORY')]|[]|['超好吃', '一定要來啊']|0.6
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|張塔可| 4 顆星 |1 週前|"路邊攤，環境不要太苛求
便宜又好吃的鴨肉飯❤️
可以一直吃
份量不大，小鳥胃可以勇敢點下去"|0|['路邊攤', '，', '環境', '不要', '太', '苛求', '\n便宜', '又', '好吃', '的', '鴨肉飯', '❤', '️\n', '可以', '一直', '吃', '\n', '份量', '不', '大', '，', '小鳥胃', '可以', '勇敢', '點下去']|['路邊攤', '環境', '苛求', '\n便宜', '鴨肉飯', '️\n', '份量', '小鳥胃', '點下去']|set()|[('路邊攤', 'Nc'), ('，', 'COMMACATEGORY'), ('環境', 'Na'), ('不要', 'D'), ('太', 'Dfa'), ('苛求', 'VC'), ('\n便宜', 'Na'), ('又', 'Caa'), ('好吃', 'VH'), ('的', 'DE'), ('鴨肉飯', 'Na'), ('❤', 'Na'), ('️\n', 'Na'), ('可以', 'D'), ('一直', 'D'), ('吃', 'VC'), ('\n', 'WHITESPACE'), ('份量', 'Na'), ('不', 'D'), ('大', 'VH'), ('，', 'COMMACATEGORY'), ('小鳥胃', 'Na'), ('可以', 'D'), ('勇敢', 'VH'), ('點下去', 'VA')]|[('路邊攤', 1), ('環境', 1), ('苛求', 1), ('\n便宜', 1), ('鴨肉飯', 1), ('️\n', 1), ('份量', 1), ('小鳥胃', 1), ('點下去', 1)]|['便宜又好吃的鴨肉飯❤️', '可以一直吃', '路邊攤', '環境不要太苛求', '份量不大']|0.9
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|SELINA HUANG| 4 顆星 |1 週前|這家是高雄家喻戶曉的老店，最厲害的是他的鴨肉飯，來這裡小菜千萬不要錯過，豆芽菜、鴨肉、鴨血都很道地好吃，另外就是湯的部份，湯底都是鴨肉熬煮的，不管是下水、鴨腸湯都很好喝，少評一分是動線跟等待的時間比較久，其實這也是多年不變了，要來吃要帶點耐心|0|['這', '家', '是', '高雄', '家喻戶曉', '的', '老店', '，', '最', '厲害', '的', '是', '他', '的', '鴨肉飯', '，', '來', '這裡', '小菜', '千萬', '不要', '錯過', '，', '豆芽菜', '、', '鴨肉', '、', '鴨血', '都', '很', '道', '地', '好吃', '，', '另外', '就是', '湯', '的', '部份', '，', '湯底', '都', '是', '鴨肉', '熬煮', '的', '，', '不管', '是', '下水', '、', '鴨腸湯', '都', '很', '好喝', '，', '少', '評', '一', '分', '是', '動線', '跟', '等待', '的', '時間', '比較', '久', '，', '其實', '這', '也', '是', '多', '年', '不變', '了', '，', '要', '來', '吃', '要', '帶', '點', '耐心']|['高雄', '老店', '鴨肉飯', '小菜', '豆芽菜', '鴨肉', '鴨血', '湯底', '鴨肉', '熬煮', '下水', '鴨腸湯', '動線', '時間', '耐心']|{(3, 5, 'GPE', '高雄')}|[('這', 'Nep'), ('家', 'Nc'), ('是', 'SHI'), ('高雄', 'Nc'), ('家喻戶曉', 'VH'), ('的', 'DE'), ('老店', 'Nc'), ('，', 'COMMACATEGORY'), ('最', 'Dfa'), ('厲害', 'VH'), ('的', 'DE'), ('是', 'SHI'), ('他', 'Nh'), ('的', 'DE'), ('鴨肉飯', 'Na'), ('，', 'COMMACATEGORY'), ('來', 'VA'), ('這裡', 'Ncd'), ('小菜', 'Na'), ('千萬', 'D'), ('不要', 'D'), ('錯過', 'VJ'), ('，', 'COMMACATEGORY'), ('豆芽菜', 'Na'), ('、', 'PAUSECATEGORY'), ('鴨肉', 'Na'), ('、', 'PAUSECATEGORY'), ('鴨血', 'Na'), ('都', 'D'), ('很', 'Dfa'), ('道', 'Na'), ('地', 'DE'), ('好吃', 'VH'), ('，', 'COMMACATEGORY'), ('另外', 'Cbb'), ('就是', 'Cbb'), ('湯', 'Na'), ('的', 'DE'), ('部份', 'Neqa'), ('，', 'COMMACATEGORY'), ('湯底', 'Na'), ('都', 'D'), ('是', 'SHI'), ('鴨肉', 'Na'), ('熬煮', 'VC'), ('的', 'T'), ('，', 'COMMACATEGORY'), ('不管', 'Cbb'), ('是', 'SHI'), ('下水', 'VA'), ('、', 'PAUSECATEGORY'), ('鴨腸湯', 'Na'), ('都', 'D'), ('很', 'Dfa'), ('好喝', 'VH'), ('，', 'COMMACATEGORY'), ('少', 'D'), ('評', 'VC'), ('一', 'Neu'), ('分', 'Nf'), ('是', 'SHI'), ('動線', 'Na'), ('跟', 'Caa'), ('等待', 'VK'), ('的', 'DE'), ('時間', 'Na'), ('比較', 'Dfa'), ('久', 'VH'), ('，', 'COMMACATEGORY'), ('其實', 'D'), ('這', 'Nep'), ('也', 'D'), ('是', 'SHI'), ('多', 'Neqa'), ('年', 'Nf'), ('不變', 'VH'), ('了', 'T'), ('，', 'COMMACATEGORY'), ('要', 'D'), ('來', 'D'), ('吃', 'VC'), ('要', 'D'), ('帶', 'VC'), ('點', 'Nf'), ('耐心', 'Na')]|[('鴨肉', 2), ('高雄', 1), ('老店', 1), ('鴨肉飯', 1), ('小菜', 1), ('豆芽菜', 1), ('鴨血', 1), ('湯底', 1), ('熬煮', 1), ('下水', 1), ('鴨腸湯', 1), ('動線', 1), ('時間', 1), ('耐心', 1)]|['來這裡小菜千萬不要錯過', '豆芽菜、鴨肉、鴨血都很道地好吃', '湯底都是鴨肉熬煮的', '不管是下水、鴨腸湯都很好喝', '其實這也是多年不變了']|0.0
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|張小芳| 5 顆星 |1 週前|鴨肉飯我很喜歡這樣的味道! 推!|0|['鴨肉飯', '我', '很', '喜歡', '這樣', '的', '味道', '!', ' ', '推', '!']|['鴨肉飯', '味道']|set()|[('鴨肉飯', 'Na'), ('我', 'Nh'), ('很', 'Dfa'), ('喜歡', 'VK'), ('這樣', 'VH'), ('的', 'DE'), ('味道', 'Na'), ('!', 'EXCLAMATIONCATEGORY'), (' ', 'WHITESPACE'), ('推', 'VC'), ('!', 'EXCLAMATIONCATEGORY')]|[('鴨肉飯', 1), ('味道', 1)]|['鴨肉飯我很喜歡這樣的味道! 推!']|0.03
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Teresa| 4 顆星 |2 週前|"好吃
當歸湯肉夠嫩不柴"|0|['好吃', '\n', '當歸', '湯肉', '夠', '嫩', '不', '柴']|['當歸', '湯肉']|set()|[('好吃', 'VH'), ('\n', 'WHITESPACE'), ('當歸', 'Na'), ('湯肉', 'Na'), ('夠', 'Dfa'), ('嫩', 'VH'), ('不', 'D'), ('柴', 'VH')]|[('當歸', 1), ('湯肉', 1)]|['好吃', '當歸湯肉夠嫩不柴']|0.56
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Bryan| 5 顆星 |2 週前|"(由 Google 提供翻譯) 高雄最好的鴨飯。

(原始評論)
Best duck-rice in Kaohsiung."|0|['(', '由', ' Google ', '提供', '翻譯', ')', ' ', '高雄', '最', '好', '的', '鴨飯', '。', '\n\n', '(', '原始', '評論', ')', '\nBest duck-rice in Kaohsiung', '.']|['翻譯', '高雄', '鴨飯', '評論']|{(16, 18, 'GPE', '高雄')}|[('(', 'PARENTHESISCATEGORY'), ('由', 'P'), (' Google ', 'FW'), ('提供', 'VD'), ('翻譯', 'Na'), (')', 'PARENTHESISCATEGORY'), (' ', 'WHITESPACE'), ('高雄', 'Nc'), ('最', 'Dfa'), ('好', 'VH'), ('的', 'DE'), ('鴨飯', 'Na'), ('。', 'PERIODCATEGORY'), ('\n\n', 'WHITESPACE'), ('(', 'PARENTHESISCATEGORY'), ('原始', 'VH'), ('評論', 'Na'), (')', 'PARENTHESISCATEGORY'), ('\nBest duck-rice in Kaohsiung', 'FW'), ('.', 'PERIODCATEGORY')]|[('翻譯', 1), ('高雄', 1), ('鴨飯', 1), ('評論', 1)]|['(由 Google 提供翻譯) 高雄最好的鴨飯', '(原始評論)', 'Best duck-rice in Kaohsiung.']|0.01
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|餃衝| 4 顆星 |2 週前|鴨肉鴨血好吃，但有時候忙會忘了東西|0|['鴨肉', '鴨血', '好吃', '，', '但', '有時候', '忙', '會', '忘', '了', '東西']|['鴨肉', '鴨血', '東西']|set()|[('鴨肉', 'Na'), ('鴨血', 'Na'), ('好吃', 'VH'), ('，', 'COMMACATEGORY'), ('但', 'Cbb'), ('有時候', 'D'), ('忙', 'VH'), ('會', 'D'), ('忘', 'VK'), ('了', 'Di'), ('東西', 'Na')]|[('鴨肉', 1), ('鴨血', 1), ('東西', 1)]|['鴨肉鴨血好吃', '但有時候忙會忘了東西']|0.09
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Qmo Wu| 4 顆星 |2 週前|吃過會讓你想念的。兩碗飯+煙燻鴨切盤+脆腸湯=滿足|0|['吃', '過', '會', '讓', '你', '想念', '的', '。', '兩', '碗', '飯', '+', '煙', '燻鴨', '切盤', '+', '脆腸湯', '=', '滿足']|['燻鴨', '切盤', '脆腸湯']|{(9, 10, 'CARDINAL', '兩')}|[('吃', 'VC'), ('過', 'Di'), ('會', 'D'), ('讓', 'VL'), ('你', 'Nh'), ('想念', 'VJ'), ('的', 'T'), ('。', 'PERIODCATEGORY'), ('兩', 'Neu'), ('碗', 'Nf'), ('飯', 'Na'), ('+', 'FW'), ('煙', 'Na'), ('燻鴨', 'Na'), ('切盤', 'Na'), ('+', 'FW'), ('脆腸湯', 'Na'), ('=', 'FW'), ('滿足', 'VHC')]|[('燻鴨', 1), ('切盤', 1), ('脆腸湯', 1)]|['吃過會讓你想念的', '兩碗飯+煙燻鴨切盤+脆腸湯=滿足']|0.07
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|yuan kuo| 5 顆星 |2 週前|"簡單不複雜的味道、和善認真的服務

不會因為太忙碌而不悅，讓我心甘情願等待香噴噴的鴨肉飯！

鴨肉飯的一級戰區，就屬七賢鴨肉飯最棒！"|0|['簡單', '不', '複雜', '的', '味道', '、', '和善', '認真', '的', '服務', '\n\n', '不會', '因為', '太', '忙碌', '而', '不悅', '，', '讓', '我', '心甘情願', '等待', '香噴噴', '的', '鴨肉飯', '！', '\n\n', '鴨肉飯', '的', '一級', '戰區', '，', '就', '屬', '七賢', '鴨肉飯', '最', '棒', '！']|['味道', '服務', '鴨肉飯', '鴨肉飯', '一級', '戰區', '七賢', '鴨肉飯']|set()|[('簡單', 'VH'), ('不', 'D'), ('複雜', 'VH'), ('的', 'DE'), ('味道', 'Na'), ('、', 'PAUSECATEGORY'), ('和善', 'VH'), ('認真', 'VH'), ('的', 'DE'), ('服務', 'VC'), ('\n\n', 'WHITESPACE'), ('不會', 'D'), ('因為', 'Cbb'), ('太', 'Dfa'), ('忙碌', 'VH'), ('而', 'Cbb'), ('不悅', 'VI'), ('，', 'COMMACATEGORY'), ('讓', 'VL'), ('我', 'Nh'), ('心甘情願', 'VH'), ('等待', 'VK'), ('香噴噴', 'VH'), ('的', 'DE'), ('鴨肉飯', 'Na'), ('！', 'EXCLAMATIONCATEGORY'), ('\n\n', 'WHITESPACE'), ('鴨肉飯', 'Na'), ('的', 'DE'), ('一級', 'Na'), ('戰區', 'Nc'), ('，', 'COMMACATEGORY'), ('就', 'D'), ('屬', 'VG'), ('七賢', 'Nb'), ('鴨肉飯', 'Na'), ('最', 'Dfa'), ('棒', 'VH'), ('！', 'EXCLAMATIONCATEGORY')]|[('鴨肉飯', 3), ('味道', 1), ('服務', 1), ('一級', 1), ('戰區', 1), ('七賢', 1)]|['鴨肉飯的一級戰區', '就屬七賢鴨肉飯最棒', '簡單不複雜的味道、和善認真的服務', '不會因為太忙碌而不悅', '讓我心甘情願等待香噴噴的鴨肉飯']|0.21
