Restaurant,Adrress,Opening_Hours,Contact,Total_Star
七賢鴨肉飯專賣店,801高雄市前金區七賢二路220號,星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00,072874562,4.3
鴨肉珍,803高雄市鹽埕區五福四路258號,星期日    10:00–20:20   星期一    10:00–20:20   星期二    休息   星期三    10:00–20:20   星期四    10:00–20:20   星期五    10:00–20:20   星期六    10:00–20:20,075215018,4.3
老牌周燒肉飯,807高雄市三民區三民街152號,星期日    09:00–21:00   星期一    09:00–21:00   星期二    09:00–21:00   星期三    09:00–21:00   星期四    09:00–21:00   星期五    09:00–21:00   星期六    09:00–21:00,072411257,3.3
香園牛肉麵軍校店,813高雄市左營區軍校路190號,星期日    11:00–14:00 17:00–20:30   星期一    11:00–14:00 17:00–20:30   星期二    11:00–14:00 17:00–20:30   星期三    休息   星期四    11:00–14:00 17:00–20:30   星期五    11:00–14:00 17:00–20:30   星期六    11:00–14:00 17:00–20:30,075823692,4
老二腿庫飯,802高雄市苓雅區興中二路118號,星期日    休息   星期一    20:00–04:00   星期二    20:00–04:00   星期三    20:00–04:00   星期四    20:00–04:00   星期五    20:00–04:00   星期六    20:00–04:00,073332779,4.1
仁武烤鴨,814高雄市仁武區鳳仁路95之21號,星期日    10:00–20:00   星期一    14:00–20:00   星期二    休息   星期三    14:00–20:00   星期四    14:00–20:00   星期五    14:00–20:00   星期六    10:00–20:00,073719315,4.3
大高雄鵝肉店,814高雄市仁武區水管路298號,星期日    16:00–00:00   星期一    16:00–00:30   星期二    休息   星期三    16:00–00:30   星期四    16:00–00:30   星期五    16:00–00:30   星期六    16:00–00:30,073725948,4.1
橋頭太成肉包陳家第三代(總店),825高雄市橋頭區成功路164號,星期日    07:00–19:00   星期一    休息   星期二    07:00–19:00   星期三    07:00–19:00   星期四    07:00–19:00   星期五    07:00–19:00   星期六    07:00–19:00,076110153,4.1
小雅茶舖-芋頭西米露,807高雄市三民區熱河一街204號,星期日    11:00–22:00   星期一    11:00–22:00   星期二    11:00–22:00   星期三    11:00–22:00   星期四    11:00–22:00   星期五    11:00–22:00   星期六    11:00–22:00,073111098,4.4
品元糖口冷飲工坊,813高雄市左營區裕誠路157號,星期日    12:00–22:00   星期一    12:00–22:00   星期二    12:00–22:00   星期三    12:00–22:00   星期四    12:00–22:00   星期五    12:00–22:00   星期六    12:00–22:00,075562748,4.2
